pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
LiAl2Pt,0,-4.690502023,-0.825250045
LiAlRh2,0,-5.75724701,-0.664725748
LiAl2Rh,0,-4.899173595,-0.70887769
LiY2Al,0,-4.890592208,-0.242881175
Mg3(Al9Mo)2,0,-4.231628691,-0.144517898
MgAlPd2,0,-4.758446283,-0.829027678
MgAlRh2,0,-5.860940625,-0.844328785
MgSc2Al,0,-4.787223068,-0.281513853
Mg3(TaAl9)2,0,-4.302985216,-0.12950902
Mg3(TiAl9)2,0,-3.987241799,-0.15797585
Mg3(Al9V)2,0,-4.078435857,-0.145735278
Mg3(Al9W)2,0,-4.371375721,-0.101892488
Y2MgAl,0,-4.869197078,-0.297395468
YMgAl,0,-4.268797567,-0.328856803
Mn8Nb3Al,0,-9.135295761,-0.188502863
MnAl2Ni,0,-6.072239918,-0.4631075
MnAlNi2,0,-6.51685098,-0.399475845
MnAlOs2,0,-9.08125971,-0.244530232
Mn2AlRe,0,-8.822663658,-0.195048932
MnAlRh2,0,-7.59062015,-0.685279735
MnAlRu2,0,-8.267236955,-0.402222553
Sc(MnAl2)4,0,-5.944026078,-0.331947475
TaMn2Al,0,-8.778413615,-0.297876893
Ta3Mn8Al,0,-9.624676437,-0.242282034
TiMn2Al,0,-7.82172793,-0.330795667
Mn2AlV,0,-8.10051578,-0.312208955
Mn2AlW,0,-8.966581753,-0.210024797
Y(MnAl2)4,0,-5.960933473,-0.338686809
Zr3Mn8Al,0,-8.759633089,-0.204244494
Ti2AlMo,0,-7.915302085,-0.314126848
NbAl2Ni9,0,-6.208738391,-0.405487393
NbAlOs2,0,-9.51166836,-0.436466405
NbAlRu2,0,-8.744074463,-0.640587583
Ti2NbAl,0,-7.686943571,-0.273069307
Ti3NbAl2,0,-7.209156213,-0.325701615
Y6Nb4Al43,0,-4.869632942,-0.333306559
Al2NiRu,0,-6.330359573,-0.691951324
ScAl2Ni,0,-5.557100005,-0.653980063
ScAlNi2,0,-6.036379758,-0.625017098
TaAl2Ni9,0,-6.384302737,-0.435851237
TaAlNi6,0,-6.708300418,-0.422038834
Ti6Al16Ni7,0,-5.65747578,-0.560236699
TiAlNi2,0,-6.42175549,-0.619910832
TiAlNi6,0,-6.261601966,-0.470142612
Al2VNi9,0,-6.113521438,-0.395813237
YAl3Ni2,0,-5.535142213,-0.656168581
Y3Al19Ni5,0,-4.928616934,-0.501895337
Y2AlNi2,0,-6.204518356,-0.55551444
YAl4Ni,0,-5.092210224,-0.552065071
YAl3Ni,0,-5.297080095,-0.598526547
YAlNi,0,-5.929691824,-0.597504698
YAl2Ni,0,-5.583381524,-0.647215384
Y3(AlNi3)2,0,-6.151161335,-0.552542871
Y4Al23Ni6,0,-4.961773628,-0.514429566
Y2(AlNi)5,0,-5.683090854,-0.634702983
ZrAl5Ni2,0,-5.447718939,-0.591445694
ZrAlNi,0,-6.67236684,-0.646800443
ZrAlNi2,0,-6.559843838,-0.595400528
Zr6Al16Ni7,0,-5.871098381,-0.639294898
Sc2AlOs,0,-7.39065526,-0.481084101
Sc6Al16Os7,0,-6.692755306,-0.605881989
TaAlOs2,0,-10.06349882,-0.552695362
TiAlOs2,0,-9.106421803,-0.585222802
AlVOs2,0,-9.293264728,-0.474691165
Y3(Al3Os)4,0,-6.346181248,-0.595732745
Zr5AlPb3,0,-6.745499268,-0.342066635
Al2PdRu,0,-6.29651213,-0.807717859
ScAlPd2,0,-6.058535393,-0.946400688
Sc6Al16Pd7,0,-5.359137177,-0.729510487
Sr2Al5Pd4,0,-4.629385502,-0.734574728
TiAlPd2,0,-6.260641825,-0.758025122
YAlPd2,0,-6.091509244,-0.946328341
YAl2Pd5,0,-5.927730243,-0.943145091
YAlPd,0,-6.02073571,-0.888033887
Y2(Al3Pd)3,0,-5.136053546,-0.692085593
Al2(Zn13Pd3)3,0,-2.366558363,-0.290958047
ZrAlPd2,0,-6.466671165,-0.80145581
Zr6Al16Pd7,0,-5.83874528,-0.751396672
Al2RuPt,0,-6.60985558,-0.902508619
Ti6Al16Pt7,0,-5.972006263,-0.808205666
TiAlPt,0,-6.818896458,-0.918209981
YAlPt,0,-6.580799058,-1.156693648
ZrAlPt,0,-7.164649325,-1.047164645
Zr6Al16Pt7,0,-6.218040609,-0.919675611
Ti2AlRe,0,-8.432986565,-0.436432793
Y(Al5Re)2,0,-5.649161109,-0.354074158
Al2RuRh,0,-6.955885563,-0.923494674
ScAlRh2,0,-7.293915,-1.09458706
Sc6Al16Rh7,0,-5.983575763,-0.829097167
TiAlRh2,0,-7.574946798,-0.985136859
Ti8Al15Rh7,0,-6.468274977,-0.771688351
Y2(Al3Rh)3,0,-5.74860244,-0.83869453
AlZnRh2,0,-5.722116113,-0.788381306
Zr6Al16Rh7,0,-6.440968489,-0.828767975
Sc2Al3Ru,0,-6.180178343,-0.648334868
TaAlRu2,0,-9.28383887,-0.744750485
TiAlRu2,0,-8.31120782,-0.761723894
AlVRu2,0,-8.48381174,-0.636953253
Y(Al5Ru)2,0,-5.319609044,-0.511830496
Zr6Al16Ru7,0,-6.721064707,-0.645573302
Sc2AlTc,0,-7.061552308,-0.367307618
Sc2AlZn,0,-4.841974053,-0.419141871
Sr3(AlSn)2,0,-3.453701579,-0.514716387
Sr11Al4Sn3,0,-2.933840253,-0.402383565
Zr5AlSn3,0,-7.101616548,-0.600071513
Y6Ta4Al43,0,-4.976466177,-0.308637452
TaAlZn,0,-5.86460441,-0.239112678
Ti2AlTc,0,-7.933939643,-0.458730956
Ti2AlW,0,-8.369911348,-0.244415346
Y6Ti4Al43,0,-4.71087453,-0.341794321
TiAl2Zn,0,-4.549345873,-0.382805738
Y6Al43W4,0,-5.027474116,-0.276318528
YAlZn,0,-4.300872442,-0.47143439
Y2AlZn,0,-4.89109568,-0.402171104
Zr2Al3Zn,0,-5.44803215,-0.512668769
ZrAl2Zn,0,-4.801232608,-0.472093821
Ba2BiAu,0,-3.615598305,-0.860286621
Ba(InAu)2,0,-3.350506851,-0.555318992
BaSn3Au,0,-3.94824091,-0.502920815
Be2RhAu,0,-4.94114281,-0.41213282
Be2RuAu,0,-5.263556318,-0.254709334
CaBiAu,0,-3.781722007,-0.723314408
Ca2BiAu,0,-3.6212643,-0.826667755
Ca(BiAu3)2,0,-3.573061906,-0.301668558
CaBiAu4,0,-3.581951247,-0.415840207
K2BiAu,0,-2.771904559,-0.423722544
La3Bi4Au3,0,-4.84044791,-0.814639894
Na2BiAu,0,-2.818164058,-0.368853436
Sr2BiAu,0,-3.487992453,-0.851995084
CaCdAu,0,-2.693050186,-0.629146113
Ca(CdAu2)2,0,-2.874579347,-0.456309345
CaCdAu2,0,-2.93609113,-0.569709456
Ca4Cd3Au,0,-2.233949276,-0.480115392
CaGaAu3,0,-3.552321992,-0.57995394
CaGaAu,0,-3.480777617,-0.709373849
Ca2Ga7Au,0,-3.283621627,-0.429544095
Ca2In4Au3,0,-3.285628356,-0.526161295
CaInAu,0,-3.342685168,-0.666406435
Ca3InAu3,0,-3.409272473,-0.754587912
Ca4In3Au10,0,-3.494689454,-0.611961611
CaIn2Au,0,-3.217583296,-0.522409662
CaLaAu2,0,-4.204462038,-0.829792537
Ca2PbAu2,0,-3.561669088,-0.707865895
Ca2PtAu,0,-4.195724308,-0.861481771
CaSnAu,0,-3.834617887,-0.739159451
CaSnAu2,0,-3.732781138,-0.592733691
Ca2(ZnAu3)3,0,-3.113052389,-0.449542564
