pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
Be17Os3,0,-5.133113241,-0.268926961
Be5Pd,0,-4.29431035,-0.311698631
BePd2,0,-5.203088643,-0.500473072
BePd3,0,-5.213542586,-0.390926373
BePd,0,-5.03861456,-0.576000273
Be5Pt,0,-4.588653448,-0.460339936
Be22Re,0,-4.182504125,-0.061578614
Be2Re,0,-7.025032742,-0.382006718
Be3Rh,0,-5.086471606,-0.440262628
BeRh,0,-6.16517993,-0.615372408
Be17Ru3,0,-4.846753254,-0.274081496
Be3Ru,0,-5.452825028,-0.326779055
Be2Ru,0,-5.913573239,-0.326382088
Sc2Be17,0,-4.191649153,-0.17613462
ScBe5,0,-4.36983147,-0.195122881
ScBe13,0,-4.09207548,-0.164280122
SrBe13,0,-3.643109749,-0.047402557
TaBe12,0,-4.506812384,-0.140130045
Ta2Be,0,-9.310572038,-0.159338433
Ta3Be2,0,-8.78786249,-0.177491202
TaBe3,0,-6.007640363,-0.236796239
Ta2Be17,0,-4.776744743,-0.180141176
Be3Tc,0,-5.666040758,-0.269463716
Ti2Be17,0,-4.378268031,-0.198340025
TiBe2,0,-5.318672115,-0.191222707
TiBe3,0,-4.98016837,-0.198928705
Be12V,0,-4.256187692,-0.102499167
Be2V,0,-5.738500673,-0.214551849
Be12W,0,-4.549314387,-0.097702745
Be2W,0,-7.1170528,-0.302103803
YBe13,0,-4.120108411,-0.182871283
Zr2Be17,0,-4.485318287,-0.236927692
ZrBe5,0,-4.787804532,-0.244375509
ZrBe13,0,-4.281238994,-0.195420593
Ca5Bi3,0,-3.553113608,-0.839294643
Ca11Bi10,0,-3.706116675,-0.800533506
CaBi2,0,-3.798870317,-0.532319233
Ca2Bi,0,-3.389926283,-0.75506905
CsBi2,0,-3.171673445,-0.274380137
Cs3Bi,0,-1.927581045,-0.281477271
CsBi,0,-2.754816742,-0.357999247
HfBi,0,-7.092799774,-0.166544609
Bi2Ir,0,-5.560221275,-0.006782355
Bi4Ir,0,-4.898196618,-0.006835292
KBi2,0,-3.258829433,-0.289888036
KBi,0,-2.849721858,-0.34543223
K3Bi,0,-2.172865553,-0.365553577
LaBi3,0,-4.70519805,-0.544542934
LaBi,0,-5.46070433,-1.037639033
La5Bi3,0,-5.370398529,-0.816128141
LiBi,0,-3.271240615,-0.368131823
Li3Bi,0,-2.93373654,-0.528195819
Mg3Bi2,0,-2.71662408,-0.19472513
Mg149Bi,0,-1.642998832,-0.023371139
Na3Bi,0,-2.336387198,-0.377382313
NaBi,0,-2.905409005,-0.29999077
NiBi3,0,-4.381577646,-0.012625433
NiBi,0,-4.860694903,-0.02103541
BiPd3,0,-5.118166011,-0.256641172
Bi2Pd5,0,-5.085164978,-0.269510611
BiPd,0,-4.861075205,-0.320643668
Bi2Pd,0,-4.559429455,-0.233060118
Bi2Pt,0,-4.853560192,-0.235787268
BiPt,0,-5.261722535,-0.284185617
RbBi,0,-2.777230699,-0.319841996
Rb3Bi,0,-2.028735063,-0.291774477
RbBi2,0,-3.208978957,-0.271304843
Bi2Rh,0,-5.239169022,-0.188004195
Bi4Rh,0,-4.720371946,-0.130375076
BiRh,0,-5.794795413,-0.16717064
Sc5Bi3,0,-6.015495723,-0.594154273
ScBi,0,-5.770877495,-0.654155348
SrBi3,0,-3.782046648,-0.436871689
Sr2Bi3,0,-3.702927333,-0.68959436
Sr11Bi10,0,-3.595322814,-0.855891163
Sr5Bi3,0,-3.388020256,-0.872450261
Sr4Bi3,0,-3.510672981,-0.876587992
Ti8Bi9,0,-5.955756615,-0.17568466
Ti2Bi,0,-6.689288512,-0.125121964
Tl3Bi,0,-2.779519858,-0.029552808
Y5Bi3,0,-6.229330011,-0.725373066
YBi,0,-6.07018265,-0.887368108
ZrBi2,0,-5.724481945,-0.276478002
